a|4392|763|3629|b|711|711|0|
c|1047|231|816|d|2427|2427|0|
e|5313|2816|2497|f|434|434|0|
g|3624|947|2677|h|4320|745|3575|
i|7453|4458|2995|j|1734|1734|0|
k|167|167|0|l|813|813|0|
m|629|629|0|n|5777|235|5542|
o|2736|628|2108|p|135|135|0|
q|441|441|0|r|423|317|106|
s|1565|194|1371|t|631|631|0|
u|3671|2478|1193|v|27|25|2|
w|448|448|0|x|805|805|0|
y|1503|1503|0|z|2249|861|1388|
